comment,sentiment
"سيارة ممتازة ما اعطيت معلومات عن مدة الشحن بتحتاجو لتفلل البطارية هل هي مدخل او مدخلين شحن لتفيد المتابعين  للعلم السيارة  صح صغيرة بس كوزن اثقل منسيارة كيا بيكانتو ومن ناحية الامان نظام سيفتي فيها عالي جدا شصي سيارة بجي مثل القفص اقوى من ناحية الحماية في حالة حدوث حادث",neutral
"هل يجب ان تحمل رخصة لقيادتها ،، وكيف اداء على الطرق السريعة",neutral
"نعم بتحتاج رخصة  ليست مخصصه للطرق السريعه",neutral
"لاتوجد  محطات شحن للسياره الكهربائيه  يجب تعميم المحطات في كل مدينه  ثانيا الصيانه لايوجد فني واحد لإصلاح السياره في كل مدينه",negative
"الكهربائية اتوقع ماتنجح مع الوقت قدام ،  ممكن يرجعون للسيارات البترول",negative
"مشكلة في سعر وقطع الغيار غالية غير متوفر الا خلل شهرين الى ثلاثة شهور",negative
"السياره الكهربائيه امنه جدا",positive
"يا جماعة الارض سخنت من التلوث فيلزم استعمال مصادر الطاقة النظيفة ونبتعد عن الوقود الاحفوري الذي يساهم في احترار المناخ معا لاجل حياة نظيفة ومناخ سليم",positive
"تم اصدار بطريات صلبه بديله عن ليثيوم وهذي بطاريات جديده امنيه واخف وزن وتخزن طاقة اكثر واقل حجم",positive
"قمبلا موقوته",negative
"كل مصانع السيارات تصنع سيارات كهربائيه لانه هو مستقبل السيارات اما الانفجار لابد من اسباب",positive
"كل المشاكل راح يحلوها  والمستقبل للكهرباء  والطاقة البديلة",positive
"اشتريت سيارت كهرباءية  من  سنوات انصح بشراءها  ولا مرة عملت عطل    دقيقة تتعبا فل بروح بيها  كيلو  مشكل بس مافي نقاط  شحن هادا دور الدولة  واصلا  صعب الدول العربية والافريقية تنجح عندهم  السيارات الكهرباءية بسبب نقص  محطات ااشحن  ستنجح كثيرا بالصين وامريكا واوروبا  فقط",positive
"بعد  او  سنوات ستختفي جميع السيارات العاديه وتبقى السيارات الكهربائية",neutral
"من أين أتيت بهذا الدراسة ونحن نريد بنزين وليس كهرباء لأنه أفضل ",negative
"مشكلة البطاريه اليابان حلة المشكله بدلة بطارية الليثيوم بطارية الحالة الصالبه سعر وأمان عدم انفجار وعمر افتراضي",neutral
"السيارات الكهربا احسن سيارات بالعالم، وداعا للبنزين ولإستغلال الناس والكذب عليهم، وداعا للأعطال والتصليح ونصب ورشات التصليح، وداعا لمصروف البنزين وغيار الزيت والفلاتر والبريكات، وداعا للخوف من شمات الهوى البعيدة بسبب غلاء البنزين، باي باي",positive
"اي شخص يفضل سيارة كهربائية مايفهم بالسيارات ويحب الالعاب الكهربائية العاب ومكنسة يعني تخيل مثلا سبورت يصير صوتها مكنسة والله فشلة وراحت الهيبة والفخامة",negative
"ما بحب السيارات الكهربائية واظن انها كلها خردة",negative
"هناك خمسون نظام حماية من ماس كهربائي",positive
"كلام دقيق نصيحة لا تشتري سيارة الكهربائية لان شركات بصدد صناعة سيارات هيدروجينية قوية وتمشي فوق الف كم بشحنة واحدة وبأقل زمن ",negative
"الصين طورت البطاريات ولا تنفجر حتى لو حادث عنيف و شركة بناسونيك اليابانية طورة بطارية لا تنفجر و غير قابلة للإشتعال العالم الحديث يتجه إلى الطاقة النظيفة وحنا مزال نحلم بسيارت ديزل قديمة",positive
"السيارات الكهربائية ليست نظيفة",negative
"مافي طاقة نظيفة حاليا حتى السيارات الكهربائية بحاجة لكهرباء والي بدها مصانع كهرباء تعمل بالوقود او الفحم اما المصادر النظيفة للكهرباء مازالت محدودة كثيرا ولا تكفي الاحتياجات العادية ليس شحن السيارات الكهربائية",neutral
"من اوسخ واقذر الدعايات ان السيارات الكهربائية هي صديقة للبيئة بل بالعكس نسبة التلوث في تصنيع البطارية يعادل ثلاث اضعاف نسبة التلوث في سيارات البنزين لكن لليهود رأي آخر",negative
"السيارات الكهربائية هي مستقبل لنقل للعالم كله وانت لك رأي اخر روح اصنع انت وبلدك اصنعو سياره بنزين ",positive
"كلامه صحيح البطاريات جدا خطرة وصارت مصائب من وراها",negative
"يا جماعه المهندسين محتاطين لكل المشاكل التي تتخوفون منها السياره الكهربائيه امينه جداً",positive
"البنزين صح قابل للاشتعال بس ما واح يشتعل لحاله غير بفعل فاعل اما الكهربا اذا صار اي التناس راح يسير مصايب وغير هيك اذا خربت البطارية يعني انتهى عمر السيارة كامله لانو البطاريا بسعرها",negative
"الكارثة ان البطاريات تحت المقاعد الخلفية يعني لوحادث او ماس او انفجار  راح تصلي على عيالك صلاة الميت",negative
"نصيحة  لا تشتري  سيارة كهربائية أبدآ  إلا  في حالة  واحدة فقط    إن فرضت عليك قوانين الدولة  ذلك",negative
"و نعم النصيحة اخويطول عمره كان سيارات البترول احسن و اضمن",negative
"الحرب على السيارات الكهربائية لانها لا تحتاج الى ميكانيكي",neutral
"اذا استخدام مدينة اتفق معك لكن انك تستخدمها للسفر هذي صعبة",neutral
" انت تحتاج فني لاصلاح نظام التعليق والفرامل واصلاح التروس والمحرك الكهربائي وايضا تحتاج الى فني محترف في الكهرباء والبرمجة ، باختصار اغلب الفنيين او ٪ منهم في العالم العربي غير مهيئ لاصلاح السيارات الكهربائية يعني لازم تذهب للوكيل ويكلفك اصلاح السيارة بقيمة سيارة كاملة المسالة مادية فقط لا اكثر",negative
"السيارة الكهربائية افضل ، احتمال احتراقها اقل بكثير من سيارة وقود وتكلفة الصيانة شبه منعدمة ،والبطارية تستبدل الخلايا التالفة فقط ، رخيصة للغاية",positive
"اللي يفضل كهربائي مايفهم شي بالسيارات ويحب سيارات الصينية لانها فاشلة مثل الكهربائية",negative
"مشكلة ماعندكش وين تشرجيها هههه",negative
"ربي معاك انا امنتي نركب فيها وللله محلها مبروك",positive
"يعطيك الصحة على الفيديو! فكرة باهية برشا الكراهب الكهرباء، خاصة لتونس نظيفة.",positive
"أما السوم يا معلم؟ أكيد غالية نار و أحنا توانسة زواولة.",negative
"قداش تعمل من كيلومتر بالشارجة الواحدة؟ بالله جاوبني.",neutral
"إن شاء الله نشوفوهم في تونس قريبًا! خطوة للأمام.",positive
"ما عناش البنية التحتية متاع الشارج في تونس، كلام فارغ هذا.",negative
"فكرة ممتازة أما البطارية قداش تشد؟ و سوم تبديلها؟",neutral
"أنا مع الكراهب هذوما، أقل تلوث و أقل مصاريف إيسونس.",positive
"صعيب ياسر في تونس، الضو ديما يقص، كيفاش باش تشارجي؟",negative
"مزيانة الكرهبة، أما قطع الغيار متوفرة؟",neutral
"تحيا تونس الخضراء! نتمناو الدعم من الدولة.",positive
"سومهم يخلع! خليها تصدي عندهم.",negative
"شنوة الماركات الموجودة في تونس؟",neutral
"برافو! لازمنا نوعيو الناس بأهمية السيارات الكهربائية.",positive
"وين باش نلقاو لي بورن دو شارج (bornes de charge)؟ في كل زنقة؟ مستحيل.",negative
"عندي سؤال: هل الدولة عندها برنامج لتشجيع شراء السيارات هذه؟",neutral
"أحلى حاجة إنها ساكتة و ما تعملش حس! راحة.",positive
"يا ولادي، البطارية بعد 5 سنين تولي زبلة، و حقها قد الكرهبة.",negative
"نتصورها عملية في المدن الكبيرة أما في الريف صعيب.",neutral
"فيديو مفيد برشا، شكراً.",positive
"كان جات أرخص شوية، الناس الكل تشري.",negative
"شكون جربها في تونس؟ يعطينا رايو بصراحة.",neutral
"الكهرباء في تونس غالية أصلاً، تزيد تكمل عليها بالشارج!",negative
"باهي كبداية، أما مازالت الخدمة طويلة.",neutral
"أنا متفائل، تونس قادرة تنجح في هذا المجال.",positive
"كلام جميل، أما الواقع مر. الأسوام خيالية.",negative
"هل يوجد تسهيلات في الدفع؟",neutral
"ممتاز! تكنولوجيا المستقبل بين يدينا.",positive
"ما ننساوش مشكلة البطاريات و وين باش يمشيو بعد ما يوفاو.",negative
"شنوة الفرق في الصيانة بينها و بين كراهب الإيسونس؟",neutral
"نحلموا بيهم في تونس أما الله غالب.",negative
"فكرة قوية، خاصة مع ارتفاع سعر البترول.",positive
"كان ينقصوا في الديوانة متاعهم شوية، تولي في المتناول.",neutral
"مازلت ماعنديش ثقة في حكاية الأوتونومي (autonomie) متاعهم.",negative
"يعطيك الصحة خويا، شرح وافي.",positive
"أنا مع كل ما هو صديق للبيئة.",positive
"الأسعار في أوروبا حاجة و في تونس حاجة أخرى خلاص.",negative
"هل البطارية تتأثر بالطقس السخون في تونس؟",neutral
"نقلة نوعية لتونس! لازم التشجيع.",positive
"مازالت بكري عليها الحكاية في بلادنا.",negative
"نستناو نشوفوهم بكثرة، و الأسعار ترخص.",neutral
"صوت المحرك متاع الإيسونس عندو وحشتو زادة هههه.",neutral
"أهم حاجة المحافظة على البيئة، برافو.",positive
"خايف من تكاليف التصليح كان فسدت حاجة.",negative
"مقارنة بالدول الأخرى، تونس مازالت بعيدة.",negative
"هل فما موديلات صغيرة و اقتصادية؟",neutral
"بصراحة، تصميمهم عصري و يجذب.",positive
"الواحد يخمم ألف مرة قبل ما يشري، خاصة مع سوم البطارية.",negative
"مبادرة طيبة، إن شاء الله تتطور.",positive
"قداش وقت لازمها باش تتشارجا كاملة؟",neutral
"ما فهمتش علاش الدولة ما تعملش مجهود أكبر في توفير البنية التحتية.",negative
"أنا ضدها، مازلت نحب الإيسونس و ريحتو.",negative
"فكرة ممتازة للحد من التلوث السمعي زادة.",positive
"هل صحيح أن صيانتها أقل تكلفة؟",neutral
"يا حسرة على كراهب قبل، هذوما تحسهم بلاستيك.",negative
"مستقبل واعد للسيارات الكهربائية في تونس.",positive
"الضمان على البطارية قداش من عام؟",neutral
"إذا سومها معقول، علاش لا؟",positive
"المشكلة الكبيرة هي إعادة تدوير البطاريات.",negative
"شنوة الإجراءات اللازمة لتركيب شارجور في الدار؟",neutral
"ما شاء الله، تكنولوجيا متطورة.",positive
"خايف لا نتوكل على عصيدة باردة، و نبلعها.",negative
"الدولة لازمها تعاون المواطن، مش تزيد عليه.",negative
"هل ينصح بها للسفر لمسافات طويلة داخل تونس؟",neutral
"منظرها يشهي، أما الجيب ما يسمحش.",negative
"يعجبني التوجه هذا، نحو طاقة أنظف.",positive
"ماذا عن محطات الشحن السريع؟ هل هي متوفرة؟",neutral
"تبدو جيدة، لكن ماذا عن الموثوقية على المدى الطويل؟",neutral
"أكيد خير من الدخان متاع الكراهب لقديمة.",positive
"نخاف من الأعطال المفاجئة في الطريق.",negative
"هل هناك أنواع مختلفة من الشواحن؟",neutral
"أتمنى أن تصبح الأسعار في المتناول قريباً.",positive
"حتى كان شريتها، وين باش تصلحها كان مرضت؟",negative
"موضوع مهم جداً، شكراً على الطرح.",neutral
"أنا واحد من الناس نستنى فيهم بفارغ الصبر.",positive
"التوانسة يحبوا الحاجات الجديدة، أما السوم هو المشكل.",negative
"هل يوجد فرق كبير في الأداء بين مختلف الموديلات؟",neutral
"إن شاء الله تكون بداية خير على بلادنا.",positive
"مازلت متردد، نحسها مغامرة.",negative
"مقارنة بالتكلفة الإجمالية (شراء + صيانة + كهرباء) مع سيارة بنزين، شكون الأفضل؟",neutral
"أحسنت النشر، فيديو توعوي.",positive
"نقصوا مالديوانة تو الناس الكل تشري.",negative
"هل هناك تطبيقات لمعرفة أماكن الشحن؟",neutral
"تبدو كخيار جيد للتنقل داخل المدينة.",positive
"الكهرباء من مصادر متجددة معاها تكون الحكاية أزين وأزين.",positive
"بصراحة، الأسعار مبالغ فيها جداً لتونس.",negative
"كيفاش الدولة تشجع على استعمالها و هي ما وفرتش الأساسيات؟",negative
"هل تتطلب رخصة سياقة خاصة؟ (سؤال بسيط)",neutral
"الواحد ولا يخاف يشري حاجة جديدة لا يلقالهاش قطع غيار.",negative
"فكرة طيبة لكن تحتاج دعم حكومي كبير.",positive
"أنا مع التطور، لكن يجب أن يكون مدروس.",neutral
"كلامك صحيح 100%، البنية التحتية هي الأساس.",negative
"نحب نجرب نسوق واحدة، أكيد إحساس مختلف.",positive
"الخوف كل الخوف من البطارية و مشاكلها.",negative
"هل هناك حوافز ضريبية لشرائها؟",neutral
"تصميم أنيق و مستقبل واعد.",positive
"ربي يسهل و نشوفوهم في كل دار.",positive
"مازلت نفضل صوت الـ V8 هههه، أما البيئة أهم.",neutral
"كل شيء باهي إلا السوم.",negative
"هل صحيح أنها لا تحتاج صيانة دورية مكثفة مثل سيارات البنزين؟",neutral
"فيديو رائع ومفيد، شكراً جزيلاً.",positive
"المشكلة في تونس هي غياب الإرادة السياسية لدعم هذا التوجه.",negative
"كلام في الصميم، يعطيك الصحة.",positive
"نحتاج المزيد من هذه السيارات لتقليل الاعتماد على الوقود الأحفوري.",positive
"زعمة توصل تونس لمرحلة الاعتماد الكلي على السيارات الكهربائية؟ حلم.",neutral
"غالية برشا و الشارج حكاية فارغة في تونس.",negative
"بالتوفيق لتونس في هذا المجال الجديد.",positive
"الفيديو هذا جاء في وقتو! الناس الكل تحكي على الكراهب الإلكتريك.",neutral
"بصراحة، فكرة تحفونة أما الأسعار في تونس تخلي الواحد يبدل رايو.",negative
"قداش الـ garantie متاع البطارية؟ هذا أهم سؤال.",neutral
"يعطيك الصحة على المجهود، أما نحبوا نشوفوا تجارب حقيقية من توانسة شراوهم.",neutral
"تونس لازمها تستثمر في الطاقة الشمسية باش نشارجيوا الكراهب هذوما ببلاش.",positive
"أنا واحد من الناس مازلت خايف من حكاية autonomie، خاصة في السفرات الطويلة.",negative
"هل فما فرق كبير في الـ performance بين الموديلات المختلفة؟",neutral
"برافو لكل واحد يشجع على التكنولوجيا النظيفة! تونس تستاهل كل خير.",positive
"الديوانة يا معلم! الديوانة هي المشكل الأكبر، مش سوم الكرهبة وحدو.",negative
"شنوة الإجراءات باش واحد يركب borne de recharge في دارو؟ ساهلة ولا معقدة؟",neutral
"أنا نشوف إنو مستقبل السيارات في تونس كهربائي، حتى لو طالت المدة.",positive
"كلام جميل، أما الواقع يقول إنو مازلنا بعاد برشا.",negative
"هل الدولة عندها نية حقيقية في تشجيع السيارات الكهربائية ولا مجرد كلام؟",neutral
"أحلى حاجة إنك تعاون في تنظيف الجو و تنقص من التلوث.",positive
"صعيب برشا إقناع التونسي بحاجة جديدة، خاصة كان غالية.",negative
"هل قطع الغيار متوفرة بسهولة في تونس؟ و الأسوام؟",neutral
"نتمناو نشوفو مبادرات من الخواص لتركيب محطات شحن في كل بلاصة.",positive
"الكهرباء في تونس غالية و زيد تقص، كيفاش باش نعملو؟",negative
"هل فما موديلات 7 بلايص (7 places) كهربائية في تونس؟",neutral
"فكرة ممتازة و لازم الدعم من الدولة بتخفيضات ضريبية.",positive
"الأسعار نار يا حبيبي نار، خليها لصحاب الشكارة.",negative
"هل البطارية تتأثر برشا بالحرارة العالية في الصيف التونسي؟",neutral
"كل خطوة نحو بيئة أنظف هي خطوة في الإتجاه الصحيح.",positive
"ما نكذبش عليك، مازلت نفضل قوة و صوت محرك الإيسونس.",negative
"قداش تكلفة شحن البطارية كاملة تقريباً بالدينار التونسي؟",neutral
"تحية لصاحب القناة على هذا الموضوع الهام.",positive
"المشكلة مش في الكرهبة، المشكلة في العقلية و في البنية التحتية الغايبة.",negative
"هل الـ leasing متاح للسيارات الكهربائية في تونس؟",neutral
"أنا متفائل خير، تونس فيها كفاءات تنجم تنجح المشروع هذا.",positive
"يا ولادي راكم تحلموا، الكراهب هذوما مش لينا.",negative
"هل الـ maintenance متاعها أقل بالرسمي من كراهب الليسانس؟",neutral
"فكرة عالمية، إن شاء الله تونس تلتحق بالركب.",positive
"سومها قد حق دار! مستحيل التونسي العادي يقدر عليها.",negative
"هل فما شركات تونسية بدات تصنع في أجزاء منها؟",neutral
"السيارات الكهربائية هي الحل الأمثل لمشكلة التلوث في المدن الكبرى.",positive
"كان ما تتحلش مشكلة البطاريات و إعادة تدويرها، ما عملنا شي.",negative
"سمعت إلي فما تطبيقات توريك وين تلقى بورن شارج، صحيح؟",neutral
"نحييك على الجرأة في طرح مواضيع جديدة و مهمة.",positive
"المواطن التونسي يستاهل يعيش في بيئة نظيفة و يستعمل تكنولوجيا متطورة.",positive
"الأسعار في المتناول حلم بعيد المنال في الوقت الحالي.",negative
"هل تنصح بها كسيارة عائلية للاستعمال اليومي؟",neutral
"أنا مع كل ما هو إيكولوجي و يحافظ على طبيعتنا.",positive
"الكهرباء إلي باش نشارجيوا بيها منين جاية؟ كان مالفيول ما عملنا شيء.",negative
"هل سرعة الشحن تختلف من محطة لأخرى؟",neutral
" Bravo! موضوع في القمة.",positive
"الحكومة لازمها تسهيلات كبيرة باش الناس تتشجع.",negative
"قداش عمر البطارية الافتراضي قبل ما تبدأ تضعاف؟",neutral
"شكلهم مزيان و عصري، أما الأهم هو الأداء و السوم.",neutral
"المشكلة زادة في إعادة البيع، زعمة سومها يطيح برشا؟",negative
"هل الدولة توفر أماكن شحن مجانية أو بأسعار رمزية؟",neutral
"فكرة تستحق التشجيع و الدعم من الجميع.",positive
"مازلت ماعنديش ثقة كاملة في التكنولوجيا هذي، نخاف من الأعطال.",negative
"هل يوجد مراكز صيانة متخصصة و معتمدة في كل الولايات؟",neutral
"خطوة نحو المستقبل، إن شاء الله تونس تكون رائدة فيها.",positive
"الحديث ساهل أما الفعل صعيب، خاصة في ضل الأزمة الإقتصادية.",negative
"شنوة أرخص كرهبة كهربائية موجودة في السوق التونسية حالياً؟",neutral
"ممتاز جداً! نحتاج المزيد من هذا المحتوى التوعوي.",positive
"يا خويا الأسوام تحبس المخ، شكون باش يشري؟",negative
"هل الدولة قاعدة تخدم على بنية تحتية للشحن السريع بين المدن؟",neutral
"أنا مستعد نشري واحدة كان السوم معقول و فما تسهيلات.",positive
"الخوف من تكلفة تغيير البطارية بعد بضع سنوات.",negative
"هل صحيح أن مصاريفها الشهرية أقل برشا من سيارة البنزين؟",neutral
"مجهود يذكر فيشكر، بالتوفيق.",positive
"إذا ما فماش إرادة سياسية حقيقية، الحكاية باش تبقى حبر على ورق.",negative
"ماهي أبرز العلامات التجارية للسيارات الكهربائية المتوفرة في تونس؟",neutral
"شجعتني بالكلام هذا، إن شاء الله نقدر نشري واحدة.",positive
"الواحد ولا يخاف من الأسعار، كل شيء يزيد كان الشهرية هي بيدها.",negative
"هل فما إمكانية لتجربة قيادة السيارات هذه قبل الشراء؟",neutral
"بصراحة، فكرة ممتازة للحد من الضجيج في شوارعنا.",positive
"الـ 'ديوانة' هي العدو الأول للسيارات الكهربائية في تونس.",negative
"نحب نعرف أكثر على أنواع الشواحن المنزلية وتكلفتها.",neutral
"عمل رائع، واصل.",positive
"التغيير يبدأ بخطوة، وهذه خطوة في الاتجاه الصحيح.",positive
"مازلت مش مقتنع، نحسها كذبة كبيرة حكاية البيئة.",negative
"هل الضمان يشمل البطارية في حالة تراجع أدائها بشكل كبير؟",neutral
"إن شاء الله الأسعار تطيح مع الوقت و زيادة المنافسة.",positive
"الوضع الاقتصادي الحالي ما يسمحش برفاهية شراء سيارة كهربائية.",negative
"ما هي المدة اللازمة لشحن السيارة من 0 إلى 100% بالشاحن المنزلي؟",neutral
"كل الدعم للمبادرات إلي تهدف لتطوير بلادنا.",positive
"أنا نفضل نستثمر فلوسي في حاجة مضمونة أكثر من سيارة كهربائية في تونس.",negative
"هل يوجد أي تأثير لتقلبات الجهد الكهربائي في تونس على عملية الشحن أو على السيارة؟",neutral
"مستقبل واعد، و تونس تستحق الأفضل دائماً.",positive
"كلام معقول، أما الواقع ديما أصعب.",negative
"هل فما جمعيات أو مجموعات متاع ملاك سيارات كهربائية في تونس لتبادل الخبرات؟",neutral
"أحسنت! محتوى هادف و مفيد.",positive
"الأسعار لازمها مراجعة جذرية لتناسب القدرة الشرائية للتونسي.",negative
"ما مدى توفر محطات الشحن خارج المدن الكبرى و في المناطق الداخلية؟",neutral
"فكرة جيدة، لكن تحتاج إلى تخطيط استراتيجي طويل المدى من الدولة.",positive
"ما نتصورش التونسي باش يبدل المازوط بالكهرباء بسهولة هكة.",negative
"هل تكنولوجيا البطاريات في تطور مستمر وقد تصبح أرخص وأكثر كفاءة قريباً؟",neutral
"أنا مع التجديد، و السيارة الكهربائية هي مستقبل النقل.",positive
"سعرها لا يشجع بالمرة، خاصة للشباب.",negative
"هل يمكن الاعتماد عليها في السفر بين الولايات بدون مشاكل شحن؟",neutral
"فيديو تثقيفي بامتياز، شكراً لك.",positive
"المشكلة الرئيسية هي الثقة في المنتج و في توفر الخدمات ما بعد البيع.",negative
"هل يمكن شحنها من أي مقبس كهرباء عادي في المنزل أم تحتاج تجهيزات خاصة؟",neutral
"نحو تونس خضراء ومستدامة!",positive
"الاستثمار في سيارة كهربائية في تونس حالياً يعتبر مغامرة غير محسوبة العواقب.",negative
"هل يمكن للدولة أن تفرض تركيب نقاط شحن في المباني السكنية الجديدة؟",neutral
"فكرة طيبة، وإن شاء الله نشوفوها منتشرة في كامل تراب الجمهورية.",positive
"مقارنة بأسعار السيارات العادية المستعملة، الكهربائية مازالت بعيدة كل البعد.",negative
"هل لديها نفس قوة وعزم سيارات البنزين من نفس الفئة؟",neutral
"مجهود تشكر عليه، يعطيك الصحة.",positive
"الدعم الحكومي ضروري جداً لإنجاح هذه النقلة النوعية.",positive
"صديقي، الفيديو متعوب عليه أما الواقع التونسي حاجة أخرى خلاص. الكرهبة الإلكتريك حلم بعيد.",negative
"زعمة الكراهب هذوما يتحملوا سخانة الصيف في الجنوب التونسي؟ البطارية ما تتنفخش؟",neutral
"أنا مع كل ما هو جديد و إيكولوجيك، أما الدولة لازمها توفر البنية التحتية قبل ما تحكي على البيع.",negative
"تحية لتونس المستقبل! السيارات الكهربائية خطوة ضرورية.",positive
"قداش أقل سوم لكرهبة كهربائية تنجم تاخوها في تونس اليوم؟ و شنوا مواصفاتها؟",neutral
"ما فهمتش علاش ما يركزوش على الكراهب الهيبريد (hybrid) كحل وسط لتونس حالياً.",neutral
"بصراحة، منظرهم في الكياس يعمل الكيف. تكنولوجيا نظيفة و أنيقة.",positive
"كان السوم كيف كراهب الإيسونس العادية، غدوة نشري واحدة.",positive
"الميكانسيانات و جماعة قطع الغيار التقليدية شنوة باش يكون مصيرهم؟",neutral
"نخاف من حكاية الـ software و الـ updates متاعها، كان تصير مشكلة شكون يصلحها؟",negative
"فكرة باهية أما لازم حملات توعية كبيرة للناس باش تفهم منافعها و كيفاش تستعملها.",neutral
"الدولة لازمها تفرض على الشركات الكبرى يوفروا نقاط شحن لموظفيهم.",positive
"هل التأمين (assurance) على السيارات الكهربائية أغلى من العادية في تونس؟",neutral
"الواحد يتمنى يشوف تونس الكل تستعمل طاقة نظيفة، أما الطريق مازال طويل.",positive
"سوم البطارية وحدها يجي قد سوم كرهبة أخرى مستعملة! كيفاش هكة؟",negative
"شنوة الحلول المقترحة لإعادة تدوير البطاريات بطريقة آمنة في تونس؟",neutral
"أنا سائق تاكسي، هل فما موديلات كهربائية تصلح للخدمة و تكون اقتصادية بالحق؟",neutral
"يعطيك الصحة، أما حبذا لو فما مقارنة بين تكلفة الكيلومتر الواحد بين كهرباء و إيسونس.",neutral
"مازلت ما شفتش محطة شحن سريعة في حتى طريق سيار، كلام فارغ.",negative
"كلام جميل، لكن يبقى حبر على ورق ما لم تتدخل الدولة بقوة في الأسعار و البنية التحتية.",negative
"أنا كطالب، نحلم بكرهبة إلكتريك صغيرة و ما تصرفش برشة، أما سومهم خيالي.",negative
"هل السيارات الكهربائية تفقد الكثير من قيمتها عند إعادة البيع (revente)؟",neutral
"المشكلة موش في الكرهبة، المشكلة في المواطن إلي مازال ماعندوش ثقافة الحفاظ على البيئة.",negative
"تبارك الله، تكنولوجيا المستقبل بين يدينا. إن شاء الله الأسعار تهبط شوية.",positive
"سمعت إلي هي ساكتة برشا، ما تخوفش شوية في الزحمة و للمترجلين؟",neutral
"وقتاش نشوفوا مبادرات لتصنيع أجزاء من السيارات الكهربائية في تونس؟ نشجعوا الصناعة المحلية.",positive
"اللي عندو شكارة ينجم يشري، أما الزوالي يتفرج و يتحسر.",negative
"هل فما فرق في إستهلاك الكهرباء بين الشتاء و الصيف (مع الكليماتيزور مثلاً)؟",neutral
"برافو! خطوة ممتازة نحو تونس أكثر استدامة و أقل تلوث.",positive
"أنا خايف من الأعطال الإلكترونية المعقدة، موش أي حد ينجم يصلحها.",negative
"هل ممكن الواحد يركب ألواح شمسية في الدار و يشارجي الكرهبة منها مباشرة؟",neutral
"هذي ثورة في عالم النقل، لازمنا نواكبوها.",positive
"تونس جميلة و تستاهل تكون نظيفة. السيارات الكهربائية جزء من الحل.",positive
"الأسوام مبالغ فيها بشكل كبير، لازم الدولة تدخل و تنقص في الأداءات.",negative
"هل صحيح أن تكاليف الصيانة الدورية شبه منعدمة مقارنة بسيارات البنزين؟",neutral
"كل التقدير على المجهود في تقديم محتوى مفيد هكة.",positive
"ماذا عن السيارات الكهربائية الصينية؟ هل هي متوفرة في تونس و أسعارها معقولة؟",neutral
"المشكلة في عقلية "اشري اليوم و بيع غدوة"، الناس تخاف سومها يطيح.",negative
"فكرة ممتازة، خاصة مع ارتفاع أسعار المحروقات الجنوني.",positive
"إذا الدولة ما دعمتش بالمليارات، الحكاية هاذي ما تنجحش في تونس.",negative
"هل نظام التعليق (suspension) متاعها مصمم للطرقات التونسية المكسرة؟",neutral
"أنا مع التقدم، أما لازم يكون مدروس و يراعي ظروف المواطن.",neutral
"أكيد فما ناس باش تستغل الحكاية و تزيد في سوم قطع الغيار و التصليح.",negative
"نحتاج لمزيد من الشفافية حول تكاليف البطاريات و عمرها الافتراضي الحقيقي.",neutral
"كمواطنة، يهمني برشا موضوع جودة الهواء، لذلك نشجع السيارات الكهربائية.",positive
"الواحد قبل ما يشري لازم يخمم في توفر قطع الغيار و كفاءة الفنيين.",negative
"هل يوجد أي مخاطر صحية مرتبطة بالمجالات الكهرومغناطيسية لهذه السيارات؟ (سؤال فضولي)",neutral
"مستقبل واعد، لكن يتطلب صبر و استثمار كبير.",positive
"في أوروبا يعاونوهم برشا، إحنا العكس، يزيدوا عليهم في الديوانة.",negative
"هل بطاريات الحالة الصلبة (solid-state batteries) باش تغير المعادلة في المستقبل القريب؟",neutral
"فكرة حلوة، أما زعمة التونسي مستعد يتخلى على صوت المحرك و "القومانية"؟",neutral
"إذا ما فماش محطات شحن في أماكن العمل و المراكز التجارية، الحكاية ناقصة.",negative
"قداش أقصى مدى تنجم تقطعو كرهبة كهربائية بشارجة وحدة في ظروف قيادة عادية في تونس؟",neutral
"موضوع شيق و يستحق النقاش، شكراً على الإضاءات.",positive
"مازلت نعتبرها تكنولوجيا غير ناضجة كفاية بالنسبة لبلادنا.",negative
"هل فما إمكانية لتأجير (location) السيارات الكهربائية في تونس لتجربتها؟",neutral
"تخفيض التلوث السمعي في المدن وحدو مكسب كبير.",positive
"الأسعار الحالية تجعلها حكراً على طبقة معينة فقط.",negative
"هل يمكن شحنها باستخدام مولد كهربائي (générateur) في حالة انقطاع التيار؟",neutral
"كل التشجيع لهذه المبادرات إلي تخدم مصلحة البيئة و المواطن.",positive
"نخاف من الاعتماد الكلي على الكهرباء، كان صارت أزمة كهرباء وطنية شنوة نعملوا؟",negative
"هل قوة التكييف (climatiseur) هي نفسها في السيارات الكهربائية و سيارات البنزين؟",neutral
"برافو تونس على هذا التوجه نحو مستقبل أخضر.",positive
"الضمان قداش يغطي بالضبط؟ و هل فما وكلاء معتمدين في كل الولايات؟",neutral
"مشكلة البطارية بعد 5 أو 7 سنين هي الهاجس الأكبر.",negative
"نحلموا نشوفوا شوارعنا مليانة بالكراهب هذوما، لكن الطريق يبدو طويل.",neutral
"هل فما تطبيقات هاتف توريك أقرب محطة شحن و حالتها (متوفرة/مشغولة)؟",neutral
"فكرة رائعة، لكن تطبيقها على أرض الواقع يتطلب إرادة سياسية قوية.",positive
"السوم، السوم، ثم السوم... هو المشكلة الأساسية للتونسي.",negative
